1 Denis Tyler 4278.911 Supervisor: Denis
2 Clarissa Parker 2880.675 Supervisor: Denis
3 Harmony Rycroft 4265.371 Supervisor: Denis
4 Alan Patel 4283.757 Supervisor: Denis
5 Domenic Eaton 4529.100 Supervisor: Denis
6 Boris Wallace 2804.768 Supervisor: Clarissa
7 Maria Alexander 4185.381 Supervisor: Clarissa
8 Kurt Wright 3559.436 Supervisor: Clarissa
9 Dani James 4534.503 Supervisor: Harmony
10 Caitlyn Allen 4421.127 Supervisor: Harmony
11 Erick Uttley 3184.422 Supervisor: Harmony
12 Carmen Zaoui 3540.752 Supervisor: Harmony
13 Bernadette Dickson 3810.442 Supervisor: Alan
14 Clint Cork 4343.742 Supervisor: Alan
15 Stella Rossi 4206.836 Supervisor: Alan
16 Angela Thornton 3459.786 Supervisor: Alan
17 Cameron Pickard 3834.901 Supervisor: Domenic
18 Enoch Umney 4161.731 Supervisor: Domenic
19 Bryon Plant 3843.746 Supervisor: Domenic
20 Charlize Horton 3450.393 Supervisor: Domenic
21 Doug Kelly 2823.052 Supervisor: Domenic
22 Elijah Eyres 3825.843 Supervisor: Domenic
23 Cassandra Connell 3806.006 Supervisor: Boris
24 Deborah Nurton 3169.952 Supervisor: Boris
25 Teagan Roberts 3786.569 Supervisor: Boris
26 Boris Spencer 3904.614 Supervisor: Maria
27 Sabrina Robinson 4069.466 Supervisor: Maria
28 Jacob Driscoll 4442.164 Supervisor: Maria
29 Josh Downing 2923.539 Supervisor: Maria
30 Manuel Griffiths 3463.618 Supervisor: Kurt
31 Maddison Silva 3348.205 Supervisor: Kurt
32 Camellia Watson 3611.916 Supervisor: Kurt
33 Bob Booth 4402.555 Supervisor: Dani
34 George Cassidy 4016.186 Supervisor: Dani
35 Hayden Collins 3325.950 Supervisor: Dani
36 Phillip Curtis 3825.239 Supervisor: Dani
37 Barney Preston 3290.377 Supervisor: Caitlyn
38 Hayden Bishop 3381.750 Supervisor: Caitlyn
39 Abbey Goodman 4269.509 Supervisor: Caitlyn
40 Caydence Mould 4556.991 Supervisor: Caitlyn
41 Josh Seymour 3520.803 Supervisor: Erick
42 Penelope York 2987.932 Supervisor: Erick
43 Chester Carter 2927.975 Supervisor: Carmen
44 Rose Abbey 3320.490 Supervisor: Carmen
45 Andrea Harvey 3447.584 Supervisor: Carmen
46 Alice Hastings 3831.749 Supervisor: Bernadette
47 Emerald Boyle 4019.962 Supervisor: Bernadette
48 Anthony Andersson 3723.116 Supervisor: Bernadette
49 Nick Lomax 4228.180 Supervisor: Bernadette
50 Boris Doherty 3251.912 Supervisor: Clint
51 David Bowen 4367.503 Supervisor: Clint
52 Sabrina Morris 4460.689 Supervisor: Clint
53 Rhea Dempsey 2905.404 Supervisor: Clint
54 Katelyn White 2881.149 Supervisor: Clint
55 Leilani Reese 4210.575 Supervisor: Stella
56 Roger Wild 3135.607 Supervisor: Charlize
57 Ryan Grant 3397.885 Supervisor: Charlize
58 Kate Waterson 4285.607 Supervisor: Charlize
59 Lynn Martin 4445.437 Supervisor: Doug
60 Benjamin Dowson 3037.222 Supervisor: Doug
61 Domenic Yoman 4000.804 Supervisor: Doug
62 Jacob Carter 4564.040 Supervisor: Elijah
63 Javier Holmes 4090.335 Supervisor: Elijah
64 Henry Roscoe 3923.726 Supervisor: Elijah
65 Chadwick Bennett 4576.409 Supervisor: Deborah
66 Liam Knight 3161.200 Supervisor: Deborah
67 Ramon Ellison 3675.351 Supervisor: Deborah
68 Alan Wilde 4027.226 Supervisor: Boris
69 Rosie Hunt 3068.172 Supervisor: Boris
70 Percy Sherwood 4132.390 Supervisor: Boris
